mesa_id,i
0100100355X,24308
0100100356X,24309
0100100357X,24310
0100100358X,24311
0100100359X,24312
0100100360X,24313
0100100361X,24314
0100100362X,24315
0100100363X,24316
0100100364X,24317
0100100365X,24318
0100100366X,24319
0100100367X,24320
0100100368X,24321
0100100369X,24322
0100100370X,24323
0100100371X,24324
0100100372X,24325
0100100373X,24326
0100100374X,24327
0100100375X,24328
0100100376X,24329
0100100377X,24330
0100100378X,24331
0100100379X,24332
0100100380X,24333
0100100381X,24334
0100100382X,24335
0100100383X,24336
0100100384X,24337
0100100385X,24338
0100100386X,24339
0100100387X,24340
0100100388X,24341
0100100389X,24342
0100100390X,24343
0100100391X,24344
0100100392X,24345
0100100393X,24346
0100100394X,24347
0100100395X,24348
0100100396X,24349
0100100397X,24350
0100100398X,24351
0100100399X,24352
0100100400X,24353
0100100401X,24354
0100100402X,24355
0100100403X,24356
0100100404X,24357
0100100405X,24358
0100100406X,24359
0100100407X,24360
0100100408X,24361
0100100409X,24362
0100100410X,24363
0100100411X,24364
0100100412X,24365
0100100413X,24366
0100100414X,24367
0100100415X,24368
0100100416X,24369
0100100417X,24370
0100100418X,24371
0100100419X,24372
0100100420X,24373
0100100421X,24374
0100100422X,24375
0100100423X,24376
0100100424X,24377
0100100425X,24378
0100100426X,24379
0100100427X,24380
0100100428X,24381
0100100429X,24382
0100100430X,24383
0100100431X,24384
0100100432X,24385
0100100433X,24386
0100100434X,24387
0100100435X,24388
0100100436X,24389
0100100437X,24390
0100100438X,24391
0100100439X,24392
0100100440X,24393
0100100441X,24394
0100100442X,24395
0100100443X,24396
0100100444X,24397
0100100445X,24398
0100100446X,24399
0100100447X,24400
0100100448X,24401
0100100449X,24402
0100100450X,24403
0100100451X,24404
0100100452X,24405
0100100453X,24406
0100100454X,24407
0100100455X,24408
0100100456X,24409
0100100457X,24410
0100100458X,24411
0100100459X,24412
0100100460X,24413
0100100461X,24414
0100100462X,24415
0100100463X,24416
0100100464X,24417
0100100465X,24418
0100100466X,24419
0100100467X,24420
0100100468X,24421
0100100469X,24422
0100100470X,24423
0100100471X,24424
0100100472X,24425
0100100473X,24426
0100100474X,24427
0100100475X,24428
0100100476X,24429
0100100477X,24430
0100100478X,24431
0100100479X,24432
0100100480X,24433
0100100481X,24434
0100100482X,24435
0100100483X,24436
0100100484X,24437
0100100485X,24438
0100100486X,24439
0100100487X,24440
0100100488X,24441
0100100489X,24442
0100100490X,24443
0100100491X,24444
0100100492X,24445
0100100493X,24446
0100100494X,24447
0100100495X,24448
0100100496X,24449
0100100497X,24450
0100100498X,24451
0100100499X,24452
0100100500X,24453
0100100501X,24454
0100100502X,24455
0100100503X,24456
0100100504X,24457
0100100505X,24458
0100100506X,24459
0100100507X,24460
0100100508X,24461
0100100509X,24462
0100100510X,24463
0100100511X,24464
0100100512X,24465
0100100513X,24466
0100100514X,24467
0100100515X,24468
0100200516X,24665
0100200517X,24666
0100200518X,24667
0100200519X,24668
0100200520X,24669
0100200521X,24670
0100200522X,24671
0100200523X,24672
0100200524X,24673
0100200525X,24674
0100200526X,24675
0100200527X,24676
0100200528X,24677
0100200529X,24678
0100200530X,24679
0100200531X,24680
0100200532X,24681
0100200533X,24682
0100200534X,24683
0100200535X,24684
0100200536X,24685
0100200537X,24686
0100200538X,24687
0100200539X,24688
0100200540X,24689
0100200541X,24690
0100200542X,24691
0100200543X,24692
0100200544X,24693
0100200545X,24694
0100200546X,24695
0100200547X,24696
0100200548X,24697
0100200549X,24698
0100200550X,24699
0100200551X,24700
0100200552X,24701
0100200553X,24702
0100200554X,24703
0100200555X,24704
0100200556X,24705
0100200557X,24706
0100200558X,24707
0100200559X,24708
0100200560X,24709
0100200561X,24710
0100200562X,24711
0100200563X,24712
0100200564X,24713
0100200565X,24714
0100200566X,24715
0100200567X,24716
0100200568X,24717
0100200569X,24718
0100200570X,24719
0100200571X,24720
0100200572X,24721
0100200573X,24722
0100200574X,24723
0100200575X,24724
0100200576X,24725
0100200577X,24726
0100200578X,24727
0100200579X,24728
0100200580X,24729
0100200581X,24730
0100200582X,24731
0100200583X,24732
0100200584X,24733
0100200585X,24734
0100200586X,24735
0100200587X,24736
